feature,importance
cat__location_Saint Christelle,0.0
cat__location_Besson,0.0
cat__location_Saint Caroline-sur-Mer,0.0
cat__location_Saint Capucine-les-Bains,0.0
cat__location_Saint Auroreboeuf,0.0
cat__location_Saint Augustinnec,0.0
cat__location_Saint Auguste-sur-Mer,0.0
cat__location_Saint Auguste,0.0
cat__location_Besnard,0.0
cat__location_BertrandBourg,0.0
cat__location_Saint Henriette,0.0
cat__location_Saint Henri-la-Forêt,0.0
cat__location_Saint Henri,0.0
cat__location_Saint GillesVille,0.0
cat__location_Saint Georgesnec,0.0
cat__location_Saint Georges,0.0
cat__location_Bertrand-sur-Labbé,0.0
cat__location_Saint Gabrielle-sur-Mer,0.0
cat__location_Saint Gabrielle-les-Bains,0.0
cat__location_Saint Gabrielle,0.0
cat__location_Saint Françoise,0.0
cat__location_Saint Franck,0.0
cat__location_Saint Eugène,0.0
cat__location_Saint Dominiquedan,0.0
cat__location_Bertrand,0.0
cat__location_Saint Léonnec,0.0
cat__location_Saint Lucynec,0.0
cat__location_Saint Lucy-les-Bains,0.0
cat__location_Saint Lucienec,0.0
cat__location_Saint Luceboeuf,0.0
cat__location_Saint JulienBourg,0.0
cat__location_Bertindan,0.0
cat__location_Saint Josette,0.0
cat__location_Saint Joseph-les-Bains,0.0
cat__location_Saint JeanneBourg,0.0
cat__location_Saint Jeandan,0.0
cat__location_Saint Jean-sur-Mer,0.0
cat__location_Saint Jacques-les-Bains,0.0
cat__location_Saint JacquelineVille,0.0
cat__location_Saint Isabelle,0.0
cat__location_Saint Hélèneboeuf,0.0
cat__location_Saint Pierreboeuf,0.0
cat__location_Saint Paulineboeuf,0.0
cat__location_Saint Nicolas,0.0
cat__location_Saint Monique,0.0
cat__location_Saint Michèle,0.0
cat__location_Saint MichelleVille,0.0
cat__location_Saint Michelle-la-Forêt,0.0
cat__location_Saint Mathilde-la-Forêt,0.0
cat__location_Saint Maryse,0.0
cat__location_Saint Mariannenec,0.0
cat__location_Saint Mariannedan,0.0
cat__location_BertinVille,0.0
cat__location_Saint Marguerite-les-Bains,0.0
cat__location_Saint Margaud-sur-Mer,0.0
cat__location_Saint Margaud-les-Bains,0.0
cat__location_Saint Manon-les-Bains,0.0
cat__location_Saint Émile,0.0
cat__location_Saint Édith-sur-Mer,0.0
cat__location_Saint Édith,0.0
cat__location_Saint Williamboeuf,0.0
cat__location_Saint Véronique,0.0
cat__location_Bertin,0.0
cat__location_Saint VictoireBourg,0.0
cat__location_Saint Victoire-les-Bains,0.0
cat__location_Saint Théodore-la-Forêt,0.0
cat__location_Saint Thomas,0.0
cat__location_Saint ThierryVille,0.0
cat__location_Saint Thibaultboeuf,0.0
cat__location_Berthelot-sur-Meyer,0.0
cat__location_Saint Roland,0.0
cat__location_Berthelot,0.0
cat__location_Saint René,0.0
cat__location_Sainte Anne,0.0
cat__location_Bernier,0.0
cat__location_Sainte Alphonsedan,0.0
cat__location_Sainte Alix-la-Forêt,0.0
cat__location_Sainte Alexdan,0.0
cat__location_Sainte Alexandrie-sur-Mer,0.0
cat__location_Sainte Alexandre-sur-Mer,0.0
cat__location_Sainte AlainBourg,0.0
cat__location_Bernard-sur-Mer,0.0
cat__location_Sainte Aimée,0.0
cat__location_BenoitVille,0.0
cat__location_Sainte Agnès-les-Bains,0.0
cat__location_Sainte Agnès,0.0
cat__location_Sainte Agathe,0.0
cat__location_BeckerBourg,0.0
cat__location_Sainte Adrienne,0.0
cat__location_Aubry,0.0
cat__location_Aubertnec,0.0
cat__location_AubertVille,0.0
cat__location_Boulanger,0.0
cat__location_Bouchet,0.0
cat__location_Arnaud-sur-Mer,0.0
cat__location_Antoineboeuf,0.0
cat__location_AntoineBourg,0.0
cat__location_Sainte CatherineVille,0.0
cat__location_Sainte Brigitteboeuf,0.0
cat__location_Sainte Bertrand-la-Forêt,0.0
cat__location_Sainte Bernard,0.0
cat__location_Sainte BernadetteVille,0.0
cat__location_Sainte AurélieBourg,0.0
cat__location_Sainte Aurélie,0.0
cat__location_Sainte Aurore,0.0
cat__location_Sainte Françoisboeuf,0.0
cat__location_Sainte Eugènenec,0.0
cat__location_Boucher-sur-Charrier,0.0
cat__location_Sainte DavidBourg,0.0
cat__location_Sainte Daniellenec,0.0
cat__location_Sainte Cécileboeuf,0.0
cat__location_Sainte CorinneVille,0.0
cat__location_Sainte Christophe,0.0
cat__location_Boucher,0.0
cat__location_Bailly-les-Bains,0.0
cat__location_Bailly-la-Forêt,0.0
cat__location_Saint Genevièveboeuf,0.0
cat__location_Auger-sur-Antoine,0.0
cat__location_Auger,0.0
cat__location_AubryVille,0.0
cat__location_Aubry-la-Forêt,0.0
cat__location_Sainte Lucy,0.0
cat__location_Sainte Lucnec,0.0
cat__location_Sainte Louis-sur-Mer,0.0
cat__location_Sainte Jérômenec,0.0
cat__location_Sainte Julien,0.0
cat__location_Sainte Joseph,0.0
cat__location_Bonnin-sur-Mahe,0.0
cat__location_Sainte IsabelleVille,0.0
cat__location_Bonnet-sur-Mer,0.0
cat__location_Sainte Hélène,0.0
cat__location_Sainte Hortense,0.0
cat__location_Sainte Henri,0.0
cat__location_Sainte Gilles,0.0
cat__location_Sainte Genevièvenec,0.0
cat__location_Sainte GenevièveVille,0.0
cat__location_Sainte GenevièveBourg,0.0
cat__location_Bonnet,0.0
cat__location_Bonneau,0.0
cat__location_Sainte Patrick,0.0
cat__location_Sainte Odette,0.0
cat__location_Sainte Noël,0.0
cat__location_Sainte Nathalie,0.0
cat__location_Sainte Monique-les-Bains,0.0
